centroid_county,centroid_x,centroid_y,centroid_lat,centroid_lon
Berkshire,59436.56099736369,903588.6505411462,42.370144057098905,-73.20667827838331
Bristol,232016.96092478355,839089.5896948181,41.801456749003435,-71.11474819427326
Dukes,270538.19694781175,794275.7892814031,41.395486604075515,-70.65658603543427
Essex,244511.14062491292,935961.9884668718,42.67296680935253,-70.95699185124144
Barnstable,299981.6403876794,831441.1412799923,41.7269037908204,-70.2983148001901
Hampshire,104123.33319311841,899514.7803526885,42.34024131952431,-72.66351350438111
Middlesex,208897.70648789994,914996.5557609367,42.48545494710274,-71.39177664182525
Franklin,110387.73410007775,926416.9241475653,42.58315377733008,-72.59167846735372
Hampden,106462.02303802506,876720.7316013749,42.13532824176104,-72.63146649549073
Nantucket,319467.6103739094,781859.5400312695,41.27784722480673,-70.07411322016898
Norfolk,223636.46774094863,878850.1450101427,42.15972850209192,-71.21398334328913
Plymouth,256979.11498755112,855801.8861467816,41.95050913606292,-70.81277500774257
Suffolk,234928.18006181123,897901.4005998389,42.33082238276396,-71.07620274615583
Worcester,166440.30175836702,900144.0830585068,42.35107263388917,-71.90732313103206
